学校,学校排名,专业,最低分,最低分位次,录取人数,选科要求
北京外国语大学,,英语,668分,5157名,3人,不限
北京外国语大学,,英语(中国政法大学联合培养涉外法治人才),664分,6406名,3人,不限
北京外国语大学,,西班牙语(中国人民大学国际新闻传播专业联合培养),663分,6980名,2人,不限
北京外国语大学,,国际组织与全球治理,663分,7044名,1人,不限
北京外国语大学,,法学,663分,7061名,2人,不限
北京外国语大学,,翻译(外交外事高级翻译),663分,6893名,1人,不限
北京外国语大学,,汉语言文学,663分,7000名,2人,不限
北京外国语大学,,外交学,663分,7089名,3人,不限
北京外国语大学,,英语(国别与区域研究),661分,7802名,1人,不限
北京外国语大学,,新闻学,661分,7841名,1人,政
北京外国语大学,,金融学,660分,7977名,3人,不限
北京外国语大学,,世界史,660分,8150名,2人,史
北京外国语大学,,工商管理类(含工商管理，会计学，财务管理，电子商务，国际商务专业),658分,8963名,3人,不限
北京外国语大学,,法语,655分,10029名,3人,不限
北京外国语大学,,德语,655分,10296名,3人,不限
北京外国语大学,,国际经济与贸易,652分,11797名,3人,不限
北京外国语大学,,日语,652分,11911名,3人,不限
北京外国语大学,,俄语,650分,12827名,2人,不限
北京理工大学,,工科试验班(徐特立英才班)(含飞行器设计与工程，飞行器动力工程，航空航天工程，武器发射工程，探测制导与控制技术，工程力学，武器系统与工程，弹药工程与爆炸技术，特种能源技术与工程，安全工程，机械电子工程，智能无人系统技术，车辆工程，装甲车辆工程能源与动力工程，机械工程，工业工程，智能制造工程，能源与动力工程(含管理双学位)，自动化，电气工程及其自动化，计算机科学与技术，软件工程，人工智能，数据科学与大数据技术，网络空间安全，密码科学与技术，光电信息科学与工程，测控技术与仪器，智能感知工程，电子信息工程，电子科学与技术，通信工程，信息对抗技术，微电子科学与工程专业),676分,3100名,10人,物
北京理工大学,,工科试验班(信息科学技术)(含自动化，电气工程及其自动化，机器人工程，计算机科学与技术，软件工程，人工智能，数据科学与大数据技术，网络空间安全，密码科学与技术，信息对抗技术专业),667分,5527名,33人,物
北京理工大学,,工科试验班(智能制造与智能车辆菁英班)(含车辆工程，装甲车辆工程，能源与动力工程，机械工程，工业工程，智能制造工程，能源与动力工程(含管理双学位)专业),666分,5858名,4人,物
北京理工大学,,工科试验班(宇航与机电类)(含飞行器设计与工程，飞行器动力工程，航空航天工程，武器发射工程，探测制导与控制技术，工程力学，武器系统与工程，弹药工程与爆炸技术，特种能源技术与工程，安全工程，机械电子工程，智能无人系统技术专业),665分,6234名,5人,物
北京理工大学,,工科试验班(电子信息实验班)(含光电信息科学与工程，测控技术与仪器，智能感知工程，电子信息工程，电子科学与技术，通信工程，微电子科学与工程专业),665分,6104名,38人,物
北京理工大学,,自动化(中外合作办学),659分,8427名,2人,物
北京理工大学,,会计学(中外合作办学),658分,9043名,2人,不限
北京理工大学,,能源与动力工程(中外合作办学),658分,8923名,3人,物
华东师范大学,,统计学(与计算机科学与技术双学位.闵行校区),676分,2985名,2人,物
华东师范大学,,数学与应用数学(闵行校区),676分,2933名,3人,物
华东师范大学,,汉语言文学(闵行校区),675分,3130名,3人,不限
华东师范大学,,法学(与心理学双学位.闵行校区),672分,3953名,2人,不限
华东师范大学,,历史学(闵行校区),671分,4371名,4人,不限
华东师范大学,,物理学(闵行校区),671分,4364名,2人,物
华东师范大学,,法学(闵行校区),670分,4611名,2人,不限
华东师范大学,,金融学(与统计学专业双学位.闵行校区),669分,4712名,3人,不限
华东师范大学,,翻译(与历史学专业双学位闵行校区),669分,4978名,1人,不限
华东师范大学,,公共管理类(普陀校区.含人力资源管理，行政管理专业),669分,4977名,1人,不限
华东师范大学,,英语(闵行校区),669分,4730名,3人,不限
华东师范大学,,数据科学与大数据技术(普陀校区),669分,4875名,3人,物
华东师范大学,,马克思主义理论(闵行校区),669分,4937名,2人,政
华东师范大学,,社会学类(含社会学，社会工作专业.闵行校区),668分,5267名,2人,不限
华东师范大学,,金融学类(含金融学，经济学专业.闵行校区),668分,5180名,4人,不限
华东师范大学,,软件工程(第三，四年学费16000元/年.普陀校区),668分,5043名,18人,物
华东师范大学,,电子信息科学与技术(闵行校区),668分,5304名,2人,物
华东师范大学,,化学(闵行校区),668分,5135名,2人,物/化
华东师范大学,,人力资源管理(与应用心理学双学位.普陀校区),667分,5579名,1人,不限
华东师范大学,,新闻学(与数据科学与大数据技术专业双学位.闵行校区),667分,5392名,1人,不限
华东师范大学,,新闻传播学类(含新闻学，编辑出版学专业.闵行校区),667分,5490名,2人,不限
华东师范大学,,哲学(闵行校区),667分,5491名,3人,不限
华东师范大学,,计算机科学与技术(普陀校区),667分,5431名,11人,物
华东师范大学,,微电子科学与工程(闵行校区),667分,5459名,2人,物
华东师范大学,,统计学类(含统计学，保险学专业.闵行校区),667分,5452名,6人,物
华东师范大学,,心理学类(含心理学，应用心理学专业.普陀校区),667分,5535名,2人,物/化
华东师范大学,,生物科学类(含生物科学，生物技术专业.闵行校区),667分,5569名,2人,物/化
华东师范大学,,政治学与行政学(与新闻学双学位.闵行校区),666分,5938名,3人,不限
华东师范大学,,教育学类(师范)(含学前教育，特殊教育，教育康复学，公共事业管理专业.普陀校区),666分,5871名,3人,不限
华东师范大学,,通信工程(闵行校区),666分,5718名,2人,物
华东师范大学,,地理信息科学(闵行校区),666分,5740名,2人,物/化
华东师范大学,,翻译(闵行校区),665分,6314名,1人,不限
华东师范大学,,工商管理类(含工商管理，会计学，旅游管理专业.闵行校区),665分,6098名,2人,不限
华东师范大学,,法语(闵行校区),665分,6108名,2人,不限
华东师范大学,,工商管理(中法创新实验班)(与法国里昂商学院合作办学，专业课程为全英文授课;后两年可申请去法国，另按法方规定缴纳学费.闵行校区),664分,6654名,2人,不限
华东师范大学,,日语(闵行校区),664分,6617名,1人,不限
华东师范大学,,德语(闵行校区),664分,6411名,1人,不限
华东师范大学,,汉语国际教育(普陀校区),664分,6455名,6人,不限
华东师范大学,,西班牙语(闵行校区),664分,6694名,1人,不限
华东师范大学,,地理科学(闵行校区),664分,6385名,2人,物/化
华东师范大学,,人文地理与城乡规划(闵行校区),663分,6859名,1人,物/化
华东师范大学,,环境科学与工程类(含环境科学，环境生态工程专业.闵行校区),663分,6826名,2人,物/化
电子科技大学,,电子信息类('成电英才计划'拔尖创新人才实验班)(本硕贯通培养，含全部理工类专业清水河校区.含通信工程，电子信息工程，电子科学与技术微电子科学与工程，机械设计制造及其自动化，光电信息科学与工程，自动化，计算机科学与技术，人工智能，航空航天工程，数据科学与大数据技术，电子信息科学与技术专业),680分,2095名,3人,物
电子科技大学,,计算机科学与技术(智能金融与区块链金融双A联合学位实验班)(本硕贯通.与西南财经大学'计算机科学与技术十金融学'联合学士学位项目.清水河校区),678分,2523名,2人,物
电子科技大学,,计算机科学与技术(互联网交叉复合型精英人才双学位培养计划)(清水河校区),677分,2802名,2人,物
电子科技大学,,计算机类(清水河校区.含计算机科学与技术，人工智能，数据科学与大数据技术，网络空间安全专业),672分,3994名,10人,物
电子科技大学,,微电子科学与工程(清水河校区),672分,3944名,2人,物
电子科技大学,,电子信息类(信息与通信)(清水河校区.含通信工程，电子信息工程，网络工程，物联网工程，信息对抗技术专业),667分,5427名,10人,物
电子科技大学,,工科试验班(电子工程类)(清水河校区.含电子科学与技术，电磁场与无线技术专业),666分,5921名,10人,物
电子科技大学,,金融学(互联网交叉复合型精英人才双学位培养计划)(清水河校区),665分,6205名,2人,物
电子科技大学,,电子信息类(光电集成与光网络)(清水河校区.含光电信息科学与工程，信息工程专业),664分,6418名,12人,物
电子科技大学,,工科试验班(机器人，电气信息，智能制造)(清水河校区.含机器人工程，电气工程及其自动化，机械设计制造及其自动化，智能电网信息工程，工业工程专业),664分,6577名,13人,物
电子科技大学,,经济管理试验班(管理与电子工程双学位培养)(清水河校区.含电子信息工程，金融学，工商管理，电子商务专业),662分,7246名,6人,物
