4-13全国分性别、职业小类、周工作时间的正在工作人口-职业小类性别-职业小类性别-职业小类性别,单位：人-合计-合计-合计,1-8小时-1-8小时-1-8小时,9-19小时-9-19小时-9-19小时,20-34小时,35小时,36-39小时,40小时-40小时-40小时,41-47小时-41-47小时-41-47小时,48小时-48小时-48小时,48小时以上,周平均-工作时间-(小时)
电信业务人员,37586,83.0,70.0,734.0,707.0,300.0,21871,1370.0,4786,7665,44
电信通信传输业务人员,8105,24.0,19.0,178.0,157.0,67.0,5191,260.0,872,1337,43
其他邮政和电信业务人员,4619,5.0,15.0,121.0,80.0,30.0,2689,170.0,531,978,44
其他办事人员和有关人员,101191,223.0,228.0,2038.0,1897.0,682.0,64555,2552.0,11012,18004,44
其他办事人员和有关人员,101191,223.0,228.0,2038.0,1897.0,682.0,64555,2552.0,11012,18004,44
商业、服务业人员,5948448,14147.0,38661.0,295544.0,74117.0,58398.0,1767643,257714.0,724372,2717852,49
购销人员,3594201,7689.0,20945.0,166021.0,42362.0,34635.0,1024348,158653.0,421115,1718433,49
营业人员,2931695,6256.0,17045.0,135754.0,34079.0,28412.0,792032,130832.0,337950,1449335,50
推销、展销人员,408451,842.0,1673.0,13722.0,4327.0,3594.0,156153,16872.0,58668,152600,48
采购人员,45257,114.0,284.0,2094.0,593.0,387.0,19434,1932.0,6516,13903,46
拍卖、典当及租赁业务人员,3252,35.0,62.0,224.0,47.0,21.0,1294,103.0,366,1100,45
废旧物资回收利用人员,65489,127.0,621.0,5654.0,1064.0,833.0,13464,2964.0,5131,35631,49
粮油管理人员,3086,13.0,55.0,263.0,54.0,24.0,1201,146.0,246,1084,46
商品监督和市场管理人员,20087,50.0,72.0,447.0,267.0,152.0,9721,724.0,2701,5953,46
其他购销人员,116884,252.0,1133.0,7863.0,1931.0,1212.0,31049,5080.0,9537,58827,50
仓储人员,166745,275.0,487.0,3932.0,1550.0,1174.0,72519,5740.0,30156,50912,47
保管人员,140052,213.0,282.0,2465.0,1215.0,906.0,62280,4611.0,26213,41867,47
储运人员,17867,44.0,144.0,1016.0,231.0,180.0,6963,741.0,2518,6030,46
其他仓储人员,8826,18.0,61.0,451.0,104.0,88.0,3276,388.0,1425,3015,47
餐饮服务人员,770919,1815.0,5204.0,43445.0,11062.0,7826.0,193367,34985.0,91875,381340,50
中餐烹饪人员,184710,525.0,1492.0,13361.0,3395.0,2016.0,47571,9252.0,18796,88302,49
西餐烹饪人员,7268,10.0,45.0,307.0,98.0,63.0,1956,319.0,910,3560,50
调酒和茶艺人员,4012,11.0,19.0,192.0,45.0,41.0,1262,170.0,500,1772,49
营养配餐人员,4408,19.0,36.0,215.0,76.0,61.0,1362,210.0,564,1865,48
餐厅服务人员,465560,1021.0,2832.0,22949.0,5572.0,4618.0,115782,20041.0,59766,232979,50
其他餐饮服务人员,104961,229.0,780.0,6421.0,1876.0,1027.0,25434,4993.0,11339,52862,50
饭店、旅游及健身娱乐场所服务人员,288864,733.0,1415.0,12371.0,3280.0,2667.0,89936,11680.0,40087,126695,49
饭店服务人员,207891,498.0,971.0,9167.0,2176.0,1955.0,62329,8394.0,28072,94329,49
旅游及公共游览场所服务人员,23300,58.0,108.0,915.0,298.0,199.0,11802,790.0,3064,6066,45
健身和娱乐场所服务人员,40679,119.0,191.0,1370.0,564.0,350.0,10803,1803.0,6711,18768,50
其他饭店、旅游及健身娱乐场所服务人员,16994,58.0,145.0,919.0,242.0,163.0,5002,693.0,2240,7532,49
运输服务人员,125433,323.0,765.0,6549.0,1862.0,1578.0,56920,5095.0,12619,39722,46
公路、道路运输服务人员,82294,211.0,563.0,4701.0,1272.0,1052.0,33446,3665.0,8363,29021,46
铁路客货运输服务人员,18954,50.0,41.0,475.0,214.0,198.0,12125,512.0,1938,3401,44
航空运输服务人员,7470,23.0,27.0,298.0,91.0,140.0,4966,199.0,679,1047,43
水上运输服务人员,3400,6.0,25.0,205.0,75.0,37.0,1527,154.0,316,1055,45
其他运输服务人员,13315,33.0,109.0,870.0,210.0,151.0,4856,565.0,1323,5198,47
医疗卫生辅助服务人员,25066,65.0,79.0,697.0,396.0,237.0,13300,973.0,2960,6359,45
医疗卫生辅助服务人员,25066,65.0,79.0,697.0,396.0,237.0,13300,973.0,2960,6359,45
社会服务和居民生活服务人员,877279,2826.0,8919.0,56694.0,12204.0,9232.0,284846,36522.0,114794,351242,47
社会中介服务人员,23403,59.0,173.0,1030.0,272.0,202.0,12199,739.0,2753,5976,45
物业管理人员,36261,225.0,347.0,1811.0,471.0,348.0,19481,1100.0,4959,7519,44
供水、供热及生活燃料供应服务人员,18712,32.0,53.0,568.0,323.0,160.0,11015,515.0,1695,4351,45
美容美发人员,171928,425.0,1134.0,8539.0,1863.0,1553.0,39534,6539.0,17634,94707,51
摄影服务人员,15164,45.0,109.0,732.0,168.0,124.0,4259,492.0,1824,7411,49
验光配镜人员,2187,9.0,6.0,65.0,24.0,13.0,720,84.0,397,869,49
洗染织补人员,18851,56.0,163.0,1161.0,231.0,207.0,4554,758.0,1947,9774,50
浴池服务人员,26166,83.0,264.0,1716.0,314.0,270.0,6564,1123.0,2860,12972,50
印章刻字人员,1729,,8.0,72.0,21.0,11.0,576,68.0,202,771,49
日用机电产品维修人员,19839,66.0,272.0,1781.0,281.0,223.0,5428,945.0,1889,8954,48
办公设备维修人员,3009,18.0,21.0,153.0,25.0,27.0,1161,130.0,387,1087,47
保育、家庭服务人员,138384,604.0,2629.0,14492.0,2572.0,1973.0,39803,6619.0,15386,54306,46
环境卫生人员,327689,865.0,2477.0,17795.0,4343.0,3304.0,112453,14554.0,56175,115723,47
殡葬服务人员,2837,24.0,67.0,344.0,68.0,35.0,931,120.0,207,1041,45
其他社会服务和居民生活服务人员,71120,315.0,1196.0,6435.0,1228.0,782.0,26168,2736.0,6479,25781,46
其他商业、服务业人员,99941,421.0,847.0,5835.0,1401.0,1049.0,32407,4066.0,10766,43149,48
其他商业、服务业人员,99941,421.0,847.0,5835.0,1401.0,1049.0,32407,4066.0,10766,43149,48
农、林、牧、渔、水利业生产人员,16197521,225972.0,913072.0,3932097.0,551978.0,399252.0,3309866,1039479.0,848449,4977356,40
种植业生产人员,15292506,218021.0,870773.0,3727884.0,519230.0,376356.0,3131742,972876.0,801430,4674194,40
大田作物生产人员,14041806,209991.0,831845.0,3497469.0,479359.0,348262.0,2876948,887866.0,728455,4181611,40
农业实验人员,12767,129.0,598.0,2814.0,372.0,308.0,2953,770.0,724,4099,41
园艺作物生产人员,934059,5620.0,28301.0,170589.0,29081.0,20461.0,192624,63419.0,54642,369322,44
热带作物生产人员,38930,147.0,592.0,4725.0,2020.0,836.0,6688,3581.0,2397,17944,46
中药材生产人员,34609,226.0,1025.0,6469.0,857.0,1071.0,7212,2411.0,2359,12979,43
农副林特产品加工人员,46528,284.0,1572.0,9577.0,1341.0,958.0,9697,2870.0,3197,17032,43
其他种植业生产人员,183807,1624.0,6840.0,36241.0,6200.0,4460.0,35620,11959.0,9656,71207,43
林业生产及野生动植物保护人员,55924,433.0,1852.0,10595.0,1845.0,1397.0,15431,3394.0,3471,17506,42
营造林人员,34229,312.0,1345.0,7436.0,1285.0,884.0,8925,2079.0,1982,9981,41
森林资源管护人员,7715,58.0,209.0,956.0,170.0,131.0,3224,296.0,550,2121,42
野生动植物保护及自然保护区人员,678,5.0,13.0,77.0,10.0,10.0,258,26.0,64,215,44
木材采运人员,4870,21.0,165.0,971.0,141.0,127.0,1240,302.0,296,1607,42
其他林业生产及野生动植物保护人员,8432,37.0,120.0,1155.0,239.0,245.0,1784,691.0,579,3582,46
畜牧业生产人员,726253,6733.0,36770.0,171134.0,26847.0,18775.0,134700,55528.0,34831,240935,41
家畜饲养人员,561450,4878.0,28751.0,137658.0,21676.0,15086.0,103026,45034.0,26212,179129,41
家禽饲养人员,118062,1612.0,7206.0,27626.0,3858.0,2878.0,22735,7426.0,6104,38617,41
蜜蜂饲养人员,3389,32.0,139.0,776.0,96.0,68.0,723,214.0,218,1123,42
实验动物饲养人员,470,8.0,16.0,63.0,26.0,10.0,176,29.0,37,105,41
动物疫病防治人员,1981,10.0,28.0,119.0,38.0,15.0,1082,59.0,134,496,44
草业生产人员,939,2.0,9.0,81.0,14.0,24.0,324,43.0,77,365,46
其他畜牧业生产人员,39962,191.0,621.0,4811.0,1139.0,694.0,6634,2723.0,2049,21100,48
渔业生产人员,111495,491.0,3119.0,20986.0,3809.0,2568.0,23230,7230.0,7980,42082,44
水产养殖人员,72039,314.0,2184.0,14597.0,2660.0,1692.0,15076,4874.0,4894,25748,43
水产捕捞及有关人员,17282,105.0,391.0,3194.0,639.0,397.0,3368,1181.0,1079,6928,44
水产品加工人员,18453,48.0,364.0,2440.0,405.0,323.0,4118,995.0,1778,7982,46
其他渔业生产人员,3721,24.0,180.0,755.0,105.0,156.0,668,180.0,229,1424,43
水利设施管理养护人员,8507,285.0,472.0,1062.0,196.0,105.0,3948,313.0,531,1595,39
河道、水库管养人员,5241,269.0,446.0,918.0,131.0,77.0,1822,242.0,302,1034,37
农田灌排工程建设管理维护人员,849,6.0,14.0,58.0,9.0,8.0,482,15.0,44,213,43
水土保持作业人员,306,,4.0,14.0,7.0,5.0,185,11.0,19,61,43
水文勘测作业人员,514,1.0,5.0,11.0,15.0,7.0,362,12.0,31,70,42
其他水利设施管理养护人员,1597,9.0,3.0,61.0,34.0,8.0,1097,33.0,135,217,42
其他农、林、牧、渔、水利业生产人员,2836,9.0,86.0,436.0,51.0,51.0,815,138.0,206,1044,44
农林专用机械操作人员,2406,7.0,79.0,407.0,46.0,46.0,652,120.0,174,875,44
农村能源开发利用人员,430,2.0,7.0,29.0,5.0,5.0,163,18.0,32,169,46
生产、运输设备操作人员及有关人员,5052832,10042.0,28526.0,247267.0,50917.0,49656.0,1365119,203501.0,787658,2310146,49
勘测及矿物开采人员,55096,197.0,568.0,2722.0,666.0,498.0,26776,1871.0,5586,16212,45
地质勘查人员,4860,31.0,214.0,427.0,81.0,67.0,1834,193.0,497,1516,44
测绘人员,1682,5.0,5.0,31.0,41.0,15.0,1059,39.0,164,323,44
矿物开采人员,23780,88.0,225.0,1517.0,306.0,228.0,9326,952.0,2760,8378,46
矿物处理人员,9198,27.0,80.0,392.0,86.0,82.0,3841,312.0,1119,3259,46
钻井人员,949,4.0,5.0,51.0,9.0,10.0,535,24.0,72,239,44
石油、天然气开采人员,10737,16.0,17.0,100.0,61.0,60.0,8404,192.0,540,1347,43
盐业生产人员,1786,17.0,8.0,101.0,43.0,13.0,791,95.0,215,503,45
其他勘测及矿物开采人员,2104,9.0,14.0,103.0,39.0,23.0,986,64.0,219,647,45
金属冶炼、轧制人员,69797,148.0,311.0,2715.0,622.0,601.0,24826,2300.0,11017,27257,48
炼铁人员,6858,9.0,34.0,245.0,58.0,57.0,2766,202.0,969,2518,47
炼钢人员,10319,22.0,26.0,284.0,70.0,89.0,4813,257.0,1593,3165,46
铁合金冶炼人员,3290,6.0,12.0,131.0,19.0,20.0,1283,129.0,459,1231,47
重有色金属冶炼人员,3152,7.0,5.0,100.0,27.0,26.0,1456,99.0,485,947,46
轻有色金属冶炼人员,4270,11.0,16.0,146.0,43.0,47.0,1855,115.0,681,1356,46
稀贵金属冶炼人员,1311,3.0,5.0,32.0,11.0,9.0,594,50.0,223,384,46
半导体材料制备人员,1641,6.0,5.0,30.0,10.0,13.0,587,38.0,387,565,48
金属轧制人员,24321,43.0,122.0,1080.0,234.0,204.0,6696,882.0,4092,10968,49
铸铁管人员,2456,2.0,13.0,104.0,20.0,21.0,805,82.0,355,1054,48
炭素制品生产人员,2370,5.0,20.0,131.0,21.0,31.0,780,113.0,296,973,47
硬质合金生产人员,2414,4.0,20.0,149.0,34.0,25.0,808,77.0,350,947,47
其他金属冶炼、轧制人员,7395,30.0,33.0,283.0,75.0,59.0,2383,256.0,1127,3149,48
化工产品生产人员,108648,241.0,506.0,4950.0,1244.0,1383.0,42051,4420.0,15596,38257,47
化工产品生产通用工艺人员,17025,36.0,68.0,612.0,229.0,154.0,7456,595.0,2669,5206,46
石油炼制生产人员,4685,16.0,8.0,65.0,134.0,42.0,3196,98.0,440,686,43
煤化工生产人员,4445,20.0,23.0,198.0,16.0,35.0,1875,142.0,737,1399,46
化学肥料生产人员,11657,24.0,57.0,495.0,143.0,124.0,5222,514.0,1682,3396,45
无机化工产品生产人员,3824,8.0,7.0,62.0,26.0,26.0,1939,105.0,562,1089,46
基本有机化工产品生产人员,1125,1.0,,23.0,8.0,14.0,583,28.0,167,301,46
合成树脂生产人员,2663,4.0,7.0,77.0,28.0,29.0,950,82.0,449,1037,48
合成橡胶生产人员,4734,2.0,17.0,138.0,44.0,52.0,1602,244.0,673,1962,48
化学纤维生产人员,9870,12.0,34.0,224.0,42.0,59.0,3281,277.0,1610,4331,49
合成革生产人员,5132,15.0,34.0,287.0,66.0,54.0,1255,208.0,672,2541,51
精细化工产品生产人员,6792,20.0,36.0,276.0,72.0,60.0,2151,274.0,1002,2901,48
信息记录材料生产人员,2911,6.0,25.0,180.0,31.0,31.0,939,115.0,327,1257,48
火药、炸药制造人员,13236,33.0,105.0,1367.0,204.0,517.0,3925,983.0,1255,4847,45
林产化工产品生产人员,966,6.0,8.0,80.0,23.0,9.0,264,25.0,115,436,47
复合材料加工人员,2130,7.0,6.0,67.0,16.0,20.0,771,76.0,371,796,48
日用化学品生产人员,10587,21.0,44.0,490.0,93.0,89.0,3956,410.0,1873,3611,47
其他化工产品生产人员,6866,10.0,27.0,309.0,69.0,68.0,2686,244.0,992,2461,47
机械制造加工人员,269289,489.0,1424.0,9695.0,2002.0,1980.0,79489,9270.0,52273,112667,49
机械冷加工人员,136825,310.0,1053.0,5915.0,1021.0,1044.0,39464,4530.0,26844,56644,48
机械热加工人员,64839,80.0,229.0,1949.0,459.0,473.0,18695,2149.0,12591,28214,49
特种加工设备操作人员,5009,5.0,13.0,111.0,23.0,28.0,1922,154.0,982,1771,48
冷作钣金加工人员,4159,6.0,7.0,101.0,28.0,24.0,1330,171.0,766,1726,49
工件表面处理加工人员,21691,29.0,25.0,482.0,116.0,143.0,5639,819.0,4196,10242,50
磨料磨具制造加工人员,11838,19.0,25.0,334.0,89.0,81.0,3351,419.0,2425,5095,49
航天器件加工成型人员,636,1.0,1.0,10.0,23.0,1.0,362,12.0,62,164,45
其他机械制造加工人员,24292,39.0,71.0,793.0,243.0,186.0,8726,1016.0,4407,8811,48
机电产品装配人员,299678,371.0,796.0,7794.0,1907.0,1876.0,87759,10441.0,62973,125761,49
基础件、部件装配人员,48316,60.0,125.0,1075.0,298.0,283.0,14187,1621.0,10600,20067,49
机械设备装配人员,23908,29.0,59.0,497.0,155.0,153.0,8289,846.0,5067,8813,48
动力设备装配人员,7820,10.0,8.0,109.0,57.0,56.0,2850,241.0,1588,2901,48
电气元件及设备装配人员,43494,52.0,92.0,883.0,224.0,257.0,13028,1401.0,9343,18214,49
电子专用设备装配调试人员,17593,32.0,37.0,334.0,96.0,142.0,5724,778.0,3693,6757,49
仪器仪表装配人员,14134,15.0,27.0,300.0,94.0,82.0,5717,446.0,2821,4632,47
运输车辆装配人员,17123,27.0,42.0,430.0,122.0,108.0,6211,496.0,3533,6154,48
膜法水处理设备制造人员,232,1.0,2.0,21.0,7.0,1.0,85,5.0,29,81,46
医疗器械装配及假肢与矫形器制作人员,6421,4.0,24.0,173.0,38.0,47.0,2173,165.0,1340,2457,49
日用机械电器制造装配人员,37086,29.0,67.0,782.0,179.0,167.0,9234,1342.0,8348,16938,50
五金制品制作、装配人员,71544,87.0,280.0,2756.0,535.0,488.0,16026,2601.0,14428,34343,50
装甲车辆装试人员,166,3.0,,4.0,,5.0,52,13.0,34,55,47
枪炮制造人员,240,1.0,,1.0,1.0,1.0,104,33.0,46,53,46
弹制造人员,243,,1.0,7.0,1.0,,166,8.0,25,35,43
引信加工制造人员,91,1.0,1.0,9.0,,,39,4.0,17,20,45
火工品制造人员,1984,4.0,13.0,187.0,47.0,29.0,701,92.0,185,726,46
防化器材制造人员,138,1.0,,5.0,,,35,1.0,58,38,47
船舶制造人员,3306,5.0,6.0,84.0,18.0,22.0,1155,107.0,733,1176,48
航空产品装配与调试人员,700,6.0,1.0,7.0,4.0,8.0,504,38.0,65,67,42
航空产品试验人员,150,1.0,,2.0,2.0,1.0,94,8.0,19,23,43
导弹卫星装配测试人员,85,,,2.0,,,42,1.0,9,31,47
火箭发动机装配试验人员,25,,,1.0,,,19,1.0,1,3,42
航天器结构强度、温度、环境试验人员,53,,,2.0,,,40,1.0,4,6,43
靶场试验人员,12,,,,,,7,,1,4,47
其他机电产品装配人员,4814,3.0,11.0,123.0,29.0,26.0,1277,192.0,986,2167,49
机械设备修理人员,56568,155.0,401.0,3181.0,661.0,511.0,21095,2017.0,6782,21765,47
机械设备维修人员,48735,142.0,370.0,2898.0,575.0,446.0,17308,1800.0,5813,19383,47
仪器仪表修理人员,3097,8.0,4.0,65.0,32.0,23.0,1832,62.0,400,671,44
民用航空器维修人员,651,,2.0,13.0,6.0,4.0,352,13.0,109,152,46
其他机械设备修理人员,4085,5.0,25.0,205.0,48.0,38.0,1603,142.0,460,1559,47
电力设备安装、运行、检修及供电人员,72154,155.0,185.0,1900.0,1307.0,675.0,42974,1985.0,7914,15059,44
电力设备安装人员,8093,15.0,32.0,236.0,103.0,62.0,4142,205.0,1001,2297,46
发电运行值班人员,9015,31.0,20.0,315.0,220.0,129.0,5693,307.0,868,1432,43
输电、配电、变电设备值班人员,4383,8.0,9.0,94.0,82.0,29.0,2867,102.0,475,717,43
电力设备检修人员,10161,15.0,25.0,207.0,211.0,107.0,6536,249.0,962,1849,44
供用电人员,15724,35.0,33.0,347.0,364.0,124.0,11016,328.0,1151,2326,43
生活、生产电力设备安装、操作、修理人员,20278,42.0,59.0,577.0,254.0,175.0,10176,667.0,2907,5421,45
其他电力设备安装、运行、检修及供电人员,4500,9.0,7.0,124.0,73.0,49.0,2544,127.0,550,1017,44
电子元器件与设备制造、装配、调试及维修人员,341784,452.0,845.0,7588.0,1706.0,2188.0,115210,13751.0,72692,127352,48
电子器件制造人员,121859,187.0,297.0,2666.0,584.0,757.0,41721,5083.0,24883,45681,49
电子元件制造人员,115980,155.0,309.0,2577.0,591.0,764.0,37204,4465.0,24890,45025,49
电池制造人员,11900,17.0,28.0,231.0,47.0,88.0,3662,480.0,3022,4325,49
电子设备装配、调试人员,56380,45.0,85.0,1165.0,215.0,307.0,20954,2327.0,12729,18553,48
电子产品维修人员,8041,20.0,54.0,330.0,99.0,89.0,2970,330.0,1146,3003,47
其他电子元器件与设备制造、装配、调试及维修人员,27624,28.0,72.0,619.0,170.0,183.0,8699,1066.0,6022,10765,49
橡胶和塑料制品生产人员,123843,214.0,498.0,4941.0,929.0,974.0,30243,4264.0,22672,59108,50
橡胶制品生产人员,23266,55.0,95.0,747.0,153.0,169.0,6448,731.0,4164,10704,49
塑料制品加工人员,87733,140.0,330.0,3444.0,652.0,689.0,20959,3049.0,16192,42278,50
其他橡胶和塑料制品生产人员,12844,19.0,73.0,750.0,124.0,116.0,2836,484.0,2316,6126,50
纺织、针织、印染人员,453440,799.0,2462.0,21049.0,4092.0,4331.0,100058,17396.0,68830,234423,50
纤维预处理人员,15914,38.0,121.0,959.0,196.0,150.0,3656,615.0,2339,7840,49
纺纱人员,118490,268.0,608.0,4751.0,844.0,1093.0,28473,4080.0,18295,60078,50
织造人员,135946,183.0,567.0,5325.0,1089.0,1138.0,29014,4873.0,21420,72337,51
针织人员,128061,205.0,835.0,7741.0,1485.0,1492.0,27054,5717.0,17877,65655,50
印染人员,22845,40.0,131.0,662.0,166.0,143.0,4090,714.0,3699,13200,54
其他纺织、针织、印染人员,32184,65.0,200.0,1611.0,312.0,315.0,7771,1397.0,5200,15313,50
裁剪、缝纫和皮革制品加工制作人员,1177626,1865.0,5614.0,53658.0,10885.0,11707.0,232382,48673.0,177499,635343,51
裁剪、缝纫人员,862639,1398.0,4009.0,39021.0,7892.0,8735.0,171496,35569.0,128071,466448,51
鞋帽制作人员,186896,218.0,803.0,7662.0,1581.0,1573.0,33772,7627.0,29957,103703,52
皮革、毛皮加工人员,56353,124.0,351.0,3361.0,604.0,649.0,12006,2662.0,9060,27536,50
缝纫制品再加工人员,27706,62.0,147.0,1359.0,329.0,328.0,6028,1067.0,3900,14486,50
其他裁剪、缝纫和皮革、毛皮制品加工制作人员,44032,63.0,304.0,2255.0,479.0,422.0,9080,1748.0,6511,23170,50
粮油、食品、饮料生产加工及饲料生产加工人员,180571,562.0,1916.0,15390.0,3336.0,2365.0,47512,8359.0,19788,81343,48
粮油生产加工人员,27563,111.0,541.0,3843.0,610.0,479.0,6866,1477.0,2233,11403,46
制糖和糖制品加工人员,8792,27.0,49.0,527.0,231.0,111.0,3357,358.0,1015,3117,46
乳品、冷仪器及罐头、饮料制作人员,18223,39.0,112.0,1052.0,210.0,213.0,5399,810.0,2541,7847,48
酿酒、食品添加剂及调味品制作人员,17811,58.0,93.0,903.0,266.0,189.0,6520,748.0,2531,6503,47
粮油食品制作人员,48530,152.0,541.0,4281.0,908.0,597.0,11249,2212.0,4902,23688,49
屠宰加工人员,17915,45.0,164.0,1617.0,411.0,240.0,3936,886.0,1649,8967,49
肉、蛋食品加工人员,12434,38.0,87.0,732.0,169.0,123.0,2781,514.0,1585,6405,50
饲料生产加工人员,4044,17.0,67.0,428.0,79.0,67.0,1148,170.0,474,1594,46
其他粮油、食品、饮料生产加工及饲料生产加工人员,25259,75.0,262.0,2007.0,452.0,346.0,6256,1184.0,2858,11819,48
烟草及其制品加工人员,7066,24.0,21.0,327.0,90.0,59.0,3504,238.0,1031,1772,45
原烟复烤人员,2164,5.0,17.0,173.0,43.0,21.0,635,109.0,327,834,46
卷烟生产人员,3644,8.0,3.0,93.0,31.0,23.0,2277,93.0,538,578,43
烟用醋酸纤维丝束滤棒制作人员,149,1.0,1.0,11.0,3.0,2.0,53,9.0,21,48,45
其他烟草及其制品加工人员,1109,10.0,,50.0,13.0,13.0,539,27.0,145,312,45
药品生产人员,25105,56.0,55.0,482.0,203.0,233.0,12573,783.0,4161,6559,46
合成药物制造人员,8143,17.0,15.0,144.0,63.0,65.0,4128,250.0,1396,2065,45
生物技术制药（品）人员,2675,5.0,4.0,43.0,24.0,20.0,1612,80.0,410,477,44
药物制剂人员,4372,7.0,6.0,65.0,37.0,40.0,2246,159.0,642,1170,46
中药制药人员,4341,16.0,21.0,115.0,38.0,59.0,2031,131.0,667,1263,46
其他药品生产人员,5574,11.0,9.0,115.0,41.0,49.0,2556,163.0,1046,1584,46
"木材加工、人造板生产、木制品制作及制浆、
造纸和纸制品生产加工人员",192312,416.0,1497.0,13835.0,2446.0,2606.0,45073,10223.0,26279,89937,48
木材加工人员,50721,156.0,564.0,4777.0,859.0,942.0,11313,3838.0,5206,23066,47
人造板生产人员,28181,68.0,250.0,2442.0,329.0,436.0,6578,1635.0,3424,13019,48
木材制品制作人员,49386,86.0,314.0,2916.0,548.0,523.0,11096,2147.0,7305,24451,49
制浆人员,2204,6.0,12.0,90.0,13.0,13.0,746,57.0,319,948,48
造纸人员,16090,29.0,58.0,701.0,152.0,144.0,4712,545.0,2672,7077,48
纸制品制作人员,27835,38.0,156.0,1577.0,291.0,251.0,6668,1192.0,4983,12679,49
"其他木材加工、人造板生产、木制品制作及制浆、
造纸和纸制品生产加工人员",17895,33.0,143.0,1332.0,254.0,297.0,3960,809.0,2370,8697,48
建筑材料生产加工人员,75750,205.0,613.0,5466.0,938.0,981.0,19591,3654.0,8440,35862,48
水泥及水泥制品生产加工人员,23116,75.0,187.0,1514.0,290.0,275.0,7016,1214.0,2752,9793,47
墙体屋面材料生产人员,20253,62.0,153.0,1560.0,239.0,281.0,4620,1002.0,2103,10233,48
建筑防水密封材料生产人员,1274,,15.0,90.0,12.0,7.0,365,39.0,152,594,48
建筑保温及吸音材料生产人员,1721,2.0,18.0,147.0,12.0,15.0,467,73.0,180,807,48
装饰石材生产人员,8601,21.0,67.0,603.0,117.0,99.0,1712,445.0,923,4614,49
非金属矿及其制品生产加工人员,3874,11.0,32.0,358.0,55.0,63.0,1044,169.0,361,1781,48
耐火材料生产人员,4447,3.0,23.0,238.0,35.0,42.0,1038,149.0,627,2292,49
其他建筑材料生产加工人员,12464,31.0,118.0,956.0,178.0,199.0,3329,563.0,1342,5748,48
玻璃、陶瓷、搪瓷及其制品生产加工人员,76691,157.0,231.0,2900.0,696.0,746.0,17396,3173.0,11609,39783,50
玻璃熔制人员,17570,26.0,60.0,836.0,175.0,152.0,4448,630.0,2734,8509,49
玻璃纤维及其制品生产人员,10027,32.0,36.0,376.0,94.0,95.0,2980,423.0,1691,4300,48
石英玻璃制品加工人员,2241,3.0,8.0,112.0,14.0,15.0,456,106.0,410,1117,50
陶瓷制品生产人员,37329,82.0,100.0,1212.0,314.0,394.0,7239,1581.0,5314,21093,51
搪瓷制品生产人员,1644,2.0,,51.0,22.0,15.0,352,119.0,262,821,49
其他玻璃、陶瓷、搪瓷及其制品生产加工人员,7880,12.0,27.0,313.0,77.0,75.0,1921,314.0,1198,3943,49
广播影视制品制作、播放及文物保护作业人员,8857,42.0,43.0,345.0,120.0,83.0,5438,251.0,842,1693,43
影视制品制作人员,1929,9.0,11.0,61.0,26.0,15.0,1134,55.0,202,416,44
音像制品制作、复制人员,2042,13.0,6.0,91.0,21.0,18.0,1216,53.0,233,391,43
广播影视舞台设备安装调试及运行操作人员,2434,11.0,14.0,105.0,41.0,31.0,1523,74.0,190,445,43
电影放映人员,932,4.0,5.0,33.0,9.0,11.0,627,21.0,79,143,43
文物保护作业人员,154,2.0,,3.0,1.0,1.0,100,7.0,7,33,44
其他广播影视制品制作、播放及文物保护作业人员,1366,3.0,7.0,52.0,22.0,7.0,838,41.0,131,265,44
印刷人员,49123,72.0,148.0,1325.0,422.0,345.0,16688,1715.0,9157,19251,48
印前处理人员,7479,13.0,22.0,175.0,91.0,56.0,3005,234.0,1300,2583,47
印刷操作人员,28846,43.0,74.0,747.0,220.0,207.0,9574,1043.0,5419,11519,48
印后制作人员,8136,9.0,28.0,210.0,61.0,48.0,2476,267.0,1655,3382,49
其他印刷人员,4662,7.0,24.0,193.0,50.0,34.0,1633,171.0,783,1767,48
工艺、美术品制作人员,190081,464.0,1903.0,18423.0,3247.0,2668.0,43180,10049.0,25693,84454,48
珠宝首饰加工制作人员,15123,32.0,115.0,819.0,184.0,144.0,2965,754.0,3079,7031,50
地毯制作人员,4898,13.0,59.0,497.0,87.0,91.0,1242,254.0,534,2121,47
玩具制作人员,63186,125.0,331.0,3121.0,622.0,664.0,16059,2836.0,10642,28786,49
漆器工艺品制作人员,8075,17.0,43.0,544.0,79.0,67.0,1843,334.0,1064,4084,49
抽纱、剌绣工艺品制作人员,38910,138.0,764.0,7217.0,1331.0,934.0,7793,2857.0,3567,14309,45
金属工艺品制作人员,6779,7.0,35.0,421.0,62.0,56.0,1595,252.0,1174,3177,49
雕刻工艺品制作人员,7675,14.0,81.0,553.0,116.0,77.0,1669,361.0,949,3855,49
美术品制作,3476,2.0,12.0,130.0,20.0,31.0,934,142.0,475,1730,51
其他工艺、美术品制作人员,41959,116.0,463.0,5121.0,746.0,604.0,9080,2259.0,4209,19361,47
文化教育、体育用品制作人员,19886,38.0,77.0,768.0,172.0,123.0,5426,699.0,4031,8552,49
文教用品制作人员,9020,22.0,52.0,475.0,94.0,71.0,2183,304.0,1712,4107,49
体育用品制作人员,6334,7.0,16.0,139.0,34.0,23.0,1757,228.0,1503,2627,49
乐器制作人员,2246,2.0,2.0,54.0,16.0,14.0,738,80.0,452,888,48
其他文化教育、体育用品制作人员,2286,7.0,7.0,100.0,28.0,15.0,748,87.0,364,930,48
